registration_date,first_name,last_name,dob,age,citizenship_status,commonwealth_country,voting_status,voter_status,place_of_residence,district,city_town_village,country_if_abroad,constituency,registered_ctv_area,sex,education,ethnicity,political_interests,market_interests,civic_interests,email,phone_whatsapp,facebook,instagram,tiktok,other_contact,other_contact_platform,street_address,photo_id_type,photo_id_last4,username,password_salt,password_hash,verification_status,consent_research,consent_contact,consent_privacy,status,notes
30/01/2026 20:32,Jose,Garcia,1960-12-30,65,Citizen of Belize,,Yes,Registered voter,Cayo District,Cayo District,Santa Elena,,Cayo South,Santa Elena,Male,Primary,Mestizo,National elections,Consumer goods; Banking,Crime; Economy,jose.garcia000@example.test,501-686-9935,jose.garcia,,jose58,,,,Social Security Card,,jose.garcia000,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
21/01/2026 20:32,Kevin,Usher,1994-11-28,31,Other resident of Belize,,Yes,Registered voter,Belize District,Belize District,,,Freetown,Caye Caulker,Male,Associate Degree,Creole,Governance; Public policy,Telecommunications,Crime; Economy,kevin.usher001@example.test,501-644-5333,,,,kevinsignal,,,Belize Voter ID,,kevin.usher001,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
25/11/2025 20:32,Brian,Martinez,1978-06-28,47,Other resident of Belize,,Yes,Registered voter,Corozal District,Corozal District,Libertad,,Corozal North,Libertad,Male,University,Other,National elections,Tourism; Retail,Crime; Economy,brian.martinez002@example.test,501-685-5374,brian.martinez,brian_martinez,,briantelegram,,,Belize Voter ID,,brian.martinez002,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
11/01/2026 20:32,Luis,Cayetano,1987-10-27,38,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Corozal District,Corozal District,San Narciso,,,,Female,Secondary,Maya,National elections,Tourism; Retail,Climate; Infrastructure,luis.cayetano003@example.test,501-672-6155,luis.cayetano,luis_cayetano,,,,,Passport,,luis.cayetano003,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
19/01/2026 20:32,Luis,Requena,2001-03-02,25,Other resident of Belize,,Yes,Registered voter,Toledo District,Toledo District,Santa Elena,,Toledo East,Santa Elena,Female,University,Creole,National elections; Municipal elections,Telecommunications,Climate; Infrastructure,luis.requena004@example.test,501-649-7252,,luis_requena,,luissignal,,,Social Security Card,,luis.requena004,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
07/04/2026 20:32,Kevin,Hyde,1960-02-18,66,Other resident of Belize,,No,Not applicable,Stann Creek District,Stann Creek District,Independence,,,,Male,University,Maya,,Consumer goods; Banking,Health; Education,kevin.hyde005@example.test,501-664-4258,kevin.hyde,kevin_hyde,,,,,Belize Voter ID,,kevin.hyde005,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
14/12/2025 20:32,Melissa,Requena,2003-08-21,22,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Cayo District,Cayo District,Roaring Creek,,,,Male,University,Other,National elections,Telecommunications,Governance; Youth,melissa.requena006@example.test,501-621-5342,melissa.requena,melissa_requena,melissa67,,,,Belize Voter ID,,melissa.requena006,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
10/05/2026 20:32,Ana,Musa,1973-01-22,53,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Stann Creek District,Stann Creek District,Dangriga,,Dangriga,Dangriga,Male,University,Mestizo,Governance; Public policy,Food and beverages,Crime; Economy,ana.musa007@example.test,501-680-1964,,ana_musa,ana32,anasignal,,,Belize Voter ID,,ana.musa007,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
21/02/2026 20:32,Nadia,Ramirez,1980-10-21,45,Citizen of Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,Orange Walk Town,,Orange Walk South,Orange Walk Town,Male,Secondary,Mestizo,,Tourism; Retail,Governance; Youth,nadia.ramirez008@example.test,501-682-2612,,nadia_ramirez,,,,,Social Security Card,,nadia.ramirez008,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
18/05/2026 20:32,Ana,Williams,1960-01-19,66,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Cayo District,,,,Cayo West,Roaring Creek,Female,Associate Degree,Maya,,Food and beverages,Crime; Economy,ana.williams009@example.test,501-651-1960,,ana_williams,,anatelegram,,,Social Security Card,,ana.williams009,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,This record looks very suspicious. Need to check it out carefully.
01/05/2026 20:32,Derrick,Garcia,2004-07-24,21,Other resident of Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,Trial Farm,,Orange Walk South,Trial Farm,Male,Secondary,Garifuna,National elections; Municipal elections,Tourism; Retail,Health; Education,derrick.garcia010@example.test,501-665-2312,,derrick_garcia,derrick85,derricksignal,,,Social Security Card,,derrick.garcia010,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
10/12/2025 20:32,Tanya,Martinez,1983-03-13,43,Other resident of Belize,,Yes,Registered voter,Toledo District,Toledo District,Santa Elena,,Toledo West,Santa Elena,Male,Primary,East Indian,National elections,Telecommunications,Crime; Economy,tanya.martinez011@example.test,501-696-2188,tanya.martinez,,tanya32,tanyasignal,,,Passport,,tanya.martinez011,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
21/04/2026 20:32,Ruth,Musa,1956-06-19,69,Other resident of Belize,,No,Not applicable,Stann Creek District,Stann Creek District,Independence,,,,Male,Technical / Vocational,Maya,National elections,Telecommunications,Crime; Economy,ruth.musa012@example.test,501-613-3200,ruth.musa,ruth_musa,,,,,Passport,,ruth.musa012,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
20/04/2026 20:32,Luis,Garcia,1987-03-14,39,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,San Antonio,,Toledo West,San Antonio,Male,University,Creole,Governance; Public policy,Tourism; Retail,Governance; Youth,luis.garcia013@example.test,501-670-8007,,,luis40,,,,Belize Voter ID,,luis.garcia013,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
03/04/2026 20:32,Jose,Ramirez,1958-08-06,67,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Orange Walk District,Orange Walk District,Trial Farm,,,,Male,Secondary,Other,Governance; Public policy,Food and beverages,Crime; Economy,jose.ramirez014@example.test,501-630-3662,jose.ramirez,,,josesignal,,,Passport,,jose.ramirez014,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
08/03/2026 20:32,Carlos,Ramirez,1989-01-23,37,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Cayo District,Cayo District,Santa Elena,,Cayo Central,Santa Elena,Female,University,Maya,National elections; Municipal elections,Consumer goods; Banking,Climate; Infrastructure,carlos.ramirez015@example.test,501-635-2137,,carlos_ramirez,,carlostelegram,,,Passport,,carlos.ramirez015,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
01/01/2026 20:32,Derrick,Chan,1969-08-31,56,Other resident of Belize,,Yes,Registered voter,Belize District,Belize District,Hattieville,,Belize Rural Central,Hattieville,Male,Technical / Vocational,Garifuna,National elections; Municipal elections,Telecommunications,Climate; Infrastructure,derrick.chan016@example.test,501-605-8144,,derrick_chan,derrick65,derricktelegram,,,Passport,,derrick.chan016,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
18/05/2026 20:32,Ruth,Hyde,2000-02-11,26,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,San Estevan,,Orange Walk South,San Estevan,Female,Secondary,Garifuna,Governance; Public policy,Food and beverages,Governance; Youth,ruth.hyde017@example.test,501-622-5930,ruth.hyde,,ruth66,ruthtelegram,,,Social Security Card,,ruth.hyde017,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
